video_id,video_url,video_title,published_at,website,use,details,frame_path,
tAp8c6u-GZ4,https://www.youtube.com/watch?v=tAp8c6u-GZ4,Radio Stations From Every Country,3/11/2025,radiocast.co,Find and listen to radio stations worldwide via an interactive map,"Radiocast.co provides an interactive map displaying numerous radio stations from various countries, allowing users to explore and listen to stations by location and genre, such as selecting pop stations in Italy. It offers an engaging way to discover music and radio content globally.",data\raw\frames\frame_video_tAp8c6u-GZ4_unknown_website_003_00.jpg,
awSA5Mf_E30,https://www.youtube.com/watch?v=awSA5Mf_E30,Free Books?,3/5/2025,openlibrary.org,Borrow millions of books and ebooks for free online,"The speaker describes a website where you can search for books, borrow them easily if available, and if not, the site shows where to locate them. It functions as a large online library offering free access to millions of books and ebooks.",data\raw\frames\frame_video_awSA5Mf_E30_unknown (online library of millions of books and ebooks)_000.jpg,
fhehGr9Jtsk,https://www.youtube.com/watch?v=fhehGr9Jtsk,Did you know this?,2/25/2025,timemap.org,Interactive historical map showing world changes over time,"The website features a fun interactive map that lets you scroll through history, view world changes by year, check rulers of regions at specific times, and see historical battles like the Battle of the Alamo in 1837, with clickable elements providing more information.",data\raw\frames\frame_video_fhehGr9Jtsk_not explicitly mentioned_000.jpg,
octMkvibGZw,https://www.youtube.com/watch?v=octMkvibGZw,Powerful website you need to know,2/18/2025,citywalki.com,"Virtually explore cities worldwide by walking, driving, or flying through them","Citywalki.com allows users to virtually explore hundreds of cities globally as if they were physically walking around. Users can select a city, such as Bangkok, Thailand, and choose different modes of navigation including walking, driving, or flying over the city. This immersive experience lets users see real-time views and even encounter scenarios like traffic jams, providing a realistic feel of being in the city without leaving home.",data\raw\frames\frame_video_octMkvibGZw_unknown_website_005_00.jpg,
YPK17Xi-C-0,https://www.youtube.com/watch?v=YPK17Xi-C-0,I wasted too much time with this,2/10/2025,colorifyai.art,Generate coloring book pages from text prompts or uploaded images,"You can type a prompt like 'Mario riding a motorcycle' to generate a coloring book page or upload a picture, such as one of R2D2, to create a custom coloring book page easily.",data\raw\frames\frame_video_YPK17Xi-C-0_alpha websites_001.jpg,
_Q6Fc_i6qjE,https://www.youtube.com/watch?v=_Q6Fc_i6qjE,Is this the future?,2/3/2025,zoo.dev/text-to-cad,Generate 3D CAD models from text descriptions,"The website allows users to create 3D models for CAD or 3D printing by inputting text descriptions specifying dimensions and features, such as a '20 millimeter thick left phalange.' After submitting the text, the site generates a rotatable 3D model that users can inspect and, if satisfied, download in various file formats for further use.",data\raw\frames\frame_video__Q6Fc_i6qjE_unknown_website_003_00.jpg,
9qWVZJmyfP0,https://www.youtube.com/watch?v=9qWVZJmyfP0,This will get you Straight A's,1/26/2025,google.com/search?q=pdf+to+brain+rot,Generate brain rot videos from PDFs or text for focused studying,"The website allows users to upload a URL, text, or PDF to create a 'brain rot' video that helps with studying, especially for those with ADHD. Users can customize the video by selecting backgrounds (e.g., Subway Surfers) and then generate a video that visually presents the content of the uploaded PDF or text, making it easier to watch and learn from the material.",data\raw\frames\frame_video_9qWVZJmyfP0_unknown_website_007_00.jpg,
tHiijRI_6E4,https://www.youtube.com/watch?v=tHiijRI_6E4,Don't Fall For This!,1/17/2025,spoken.io,Find cheap alternatives to any item,Unable to extract detailed information from transcript,data\raw\frames\frame_video_tHiijRI_6E4_unknown_website_010_00.jpg,
diqt7PBqWsc,https://www.youtube.com/watch?v=diqt7PBqWsc,Delete yourself from the Internet,1/9/2025,google/resultsaboutyou,Track status of Google search result removal requests,"The website goo.gle/resultsaboutyou allows users to view all their requests to remove personal information from Google search results and check the status of each removal request, providing a centralized way to manage and monitor these privacy-related actions.",data\raw\frames\frame_video_diqt7PBqWsc_unknown_website_015_00.jpg,
Dwg_cm56GpI,https://www.youtube.com/watch?v=Dwg_cm56GpI,What would you do with this?,1/1/2025,backflip.ai,Create 3D models from text descriptions and edit them interactively,"The website allows users to start creating 3D models by entering text prompts like 'robot anime girl', generating multiple images to choose from, then converting the selected image into various 3D models. Users can download or edit these models by dragging shapes onto them or importing their own pictures to create custom 3D models.",data\raw\frames\frame_video_Dwg_cm56GpI_not explicitly mentioned_000.jpg,
luQGaJwFliA,https://www.youtube.com/watch?v=luQGaJwFliA,Netflix Doesn't Want You To Know,12/26/2024,netflix.com (with secret category codes),Discover hidden Netflix categories using secret category codes,"The website provides a list of secret category codes that Netflix doesn't openly show; by entering these codes, you can access specific hidden genres or categories on Netflix, such as 'IMI for gamers' or 'Animal Tales 5507'. You can use these codes both on the website and directly on your Netflix app or TV to find niche content like 'Castlevania' or 'Canine Intervention'.",data\raw\frames\frame_video_luQGaJwFliA_netflix_com (with secret category codes)_002.jpg,
W4jo3aXIHNM,https://www.youtube.com/watch?v=W4jo3aXIHNM,Keep This A Secret,12/11/2024,alpharoadmap.com,Provides detailed career roadmaps for various IT professions,"The site offers step-by-step roadmaps for careers like backend engineering, explaining each step with free learning resources; adding 'AI' to the URL lets you generate custom roadmaps for any profession, such as financial analyst.",data\raw\frames\frame_video_W4jo3aXIHNM_alpharoadmap_com_000.jpg,
tOqf8WDBHuQ,https://www.youtube.com/watch?v=tOqf8WDBHuQ,Is This Getting Too Real?,12/4/2024,google.com/search?q=ominicontrol+space,Generate AI images from reference image,Unable to extract detailed information from transcript,data\raw\frames\frame_video_tOqf8WDBHuQ_unknown_website_004_00.jpg,
R88ypfpmtMc,https://www.youtube.com/watch?v=R88ypfpmtMc,Don't Buy on Black Friday Before Knowing This!,11/29/2024,amazon.com,Online marketplace for buying products with potential Black Friday deals,"The speaker discusses how some sellers on Amazon inflate prices before Black Friday and then reduce them to appear as good deals, advising caution when purchasing.",data\raw\frames\frame_video_R88ypfpmtMc_amazon_com_000.jpg,
#NAME?,https://www.youtube.com/watch?v=-CrwkcKs_40,Use This Wisely,11/27/2024,magic.chenjunfeng.xyz,Edit and transform photos using AI-powered brush tools,"The website allows users to upload a picture and use various brush tools to selectively modify parts of the image. For example, you can color over specific areas like hair or clothing and then instruct the AI to change those features, such as giving someone emo hair or a black hoodie jacket. The AI processes these inputs and generates realistic edits, including subtle details like adding a red streak to hair, demonstrating precise and creative photo transformations.",data\raw\frames\frame_video_-CrwkcKs_40_unknown_website_003_00.jpg,
Q_Ek4rWXKyo,https://www.youtube.com/watch?v=Q_Ek4rWXKyo,Why do websites do this?,11/19/2024,No website,Simplifies online recipes by removing clutter and providing adjustable servings,"By copying the URL of a recipe and pasting it into this website's 'Import new recipe' feature, users get a clean version of the recipe without extra paragraphs. It allows increasing servings with automatic ingredient updates, marking off ingredients as obtained, and following step-by-step instructions interactively.",data\raw\frames\frame_video_Q_Ek4rWXKyo_not explicitly named_001.jpg,
FBRjNpJK-7g,https://www.youtube.com/watch?v=FBRjNpJK-7g,Should we be worried?,11/11/2024,hailuoai.video,Generate realistic AI videos from text prompts or uploaded images,"Allows users to type in prompts like 'a turkey walking down Miami beach' to create highly realistic videos; supports uploading images to create complex scenes, such as combining separate pictures to interact realistically, demonstrating advanced AI video synthesis capabilities.",data\raw\frames\frame_video_FBRjNpJK-7g_unnamed ai video generation website_000.jpg,
ZZhL7IsdyFc,https://www.youtube.com/watch?v=ZZhL7IsdyFc,Should we be scared?,10/30/2024,No website,A website that finds social media information by uploading a person's photo,"The website is used as part of a facial recognition system developed by Harvard students, where a program uploads a picture of a detected face to the site to find other images of that person from their social media profiles. This helps identify the person by name, enabling further searches through online articles and databases to gather more information, which is then relayed back to an app on a phone for real-time identification.",data\raw\frames\frame_video_ZZhL7IsdyFc_unknown_website_000_00.jpg,
iv2hKf41J1I,https://www.youtube.com/watch?v=iv2hKf41J1I,Create your own fantasy world,10/22/2024,dungeonscrawl.com,Create your own fantasy maps,Unable to extract detailed information from transcript,,
qGBeFJFMsOg,https://www.youtube.com/watch?v=qGBeFJFMsOg,Should we be worried about this?,10/14/2024,fal.ai (flux ai generator),AI tool to generate highly realistic images from text prompts,The latest version creates pictures almost indistinguishable from real life; supports adding specific file types after prompts to make images look like actual camera photos; excels at accurately adding text within images.,data\raw\frames\frame_video_qGBeFJFMsOg_flux ai generator_000.jpg,
aJIpFTaLu0c,https://www.youtube.com/watch?v=aJIpFTaLu0c,This Helped Me So Much!,10/7/2024,entertained.app,Read public domain books while practicing typing,"The speaker describes a website where you can select public domain books like Dracula, read along, and practice typing simultaneously, with features that track your words per minute and accuracy.",data\raw\frames\frame_video_aJIpFTaLu0c_not explicitly mentioned_000.jpg,
lz049zRFhw0,https://www.youtube.com/watch?v=lz049zRFhw0,Your Information On The Dark Web,9/30/2024,google.com,Check if your personal information has been leaked on the Dark web,"Within your Google Account, under the Security tab, you can enable the Dark web report to see if your personal data like phone number or Social Security number has appeared in data breaches, view specific breach details, and get recommended protection steps.",data\raw\frames\frame_video_lz049zRFhw0_google account_000.jpg,
ktALNFcrKgg,https://www.youtube.com/watch?v=ktALNFcrKgg,Trick Everyone You Know,9/24/2024,vidwud.com,"Create face swap videos, GIFs, and photos easily online","Vidwud.com offers free, fun picture tools including video face swaps where users can upload a video or GIF and a photo to swap faces seamlessly. It supports face swaps on videos, GIFs, and regular photos, allowing users to create humorous or creative content such as swapping their face onto a video of Captain America or placing themselves in photos with celebrities or artworks.",data\raw\frames\frame_video_ktALNFcrKgg_unknown_website_006_00.jpg,
NlmLVVpRFrI,https://www.youtube.com/watch?v=NlmLVVpRFrI,No More Secrets With This,9/16/2024,readtheirlips.com,Transcribes speech from video by analyzing lip movements using AI,"readtheirlips.com allows users to upload a video, then uses AI to analyze the speaker's lip movements and convert them into text, effectively transcribing what the person is saying without audio.",data\raw\frames\frame_video_NlmLVVpRFrI_unknown_website_007_00.jpg,
tJOFBfoLanw,https://www.youtube.com/watch?v=tJOFBfoLanw,Rip My Bank Account,9/9/2024,shopyourtv.com,Find and buy outfits from TV shows and characters,"Shopyourtv.com allows users to search for TV shows or characters to discover the outfits featured on them. The website displays various clothing items worn by different characters in the selected show and provides information on where to purchase those items. It helps viewers easily identify and shop for fashion seen on TV, although availability may vary as some items can be sold out.",data\raw\frames\frame_video_tJOFBfoLanw_unknown_website_007_00.jpg,
2LMHmrF5EC8,https://www.youtube.com/watch?v=2LMHmrF5EC8,Don't Tell Your Teachers,9/2/2024,tree-of-knowledge.org,Build a knowledge tree for any topic with subtopics and detailed info,"By typing in any topic, the website creates a tree of knowledge starting from the main topic and branching into subtopics, providing comprehensive information on each.",data\raw\frames\frame_video_2LMHmrF5EC8_not specified (knowledge tree website)_002.jpg,
ZBiqap-xVzc,https://www.youtube.com/watch?v=ZBiqap-xVzc,I Wish I Knew About This Sooner,8/25/2024,startmycar.com,Find information about your car,Unable to extract detailed information from transcript,data\raw\frames\frame_video_ZBiqap-xVzc_unknown_website_004_00.jpg,
7ohof4HzpaE,https://www.youtube.com/watch?v=7ohof4HzpaE,A Powerful Website You Need To Know!,8/21/2024,scribehow.com,Create step-by-step guides with screenshots for tasks,"Scribehow.com offers a Chrome extension and desktop app that lets you capture your screen while performing a task, then automatically generates an editable step-by-step guide with screenshots that you can share directly with your team, making it easy to show coworkers how to do something without repeating yourself.",data\raw\frames\frame_video_7ohof4HzpaE_scribehow_com_000.jpg,
bJTM7Cng-og,https://www.youtube.com/watch?v=bJTM7Cng-og,No one Know About This,8/18/2024,emupedia.net,Access various applications and games from a single site,"By searching 'Website Secure Boredom Part 29' on Google and clicking the first link, you can use a collection of awesome applications and games, including a free code editor called Got Worms and the game Red Alert 2.",data\raw\frames\frame_video_bJTM7Cng-og_website secure boredom_000.jpg,
UyMNxDAiZDE,https://www.youtube.com/watch?v=UyMNxDAiZDE,This CMD Prompt Trick is Insane,8/11/2024,No website,Find to find and update all applications on your pc,Unable to extract detailed information from transcript,,
UFrLxN50dbQ,https://www.youtube.com/watch?v=UFrLxN50dbQ,This is Scary!,8/4/2024,klingai.com,Generate short videos from text prompts or uploaded images,"Klingai.com offers a text-to-video generator that allows users to create short 5 to 10 second video clips by typing any prompt, such as 'a gorilla walking down the runway at a fashion show.' Additionally, users can upload an image, like Picasso's Mona Lisa, and then input a prompt to animate the picture into a video, for example, making the woman in the image put on sunglasses. This functionality enables creative and personalized video generation from both text and images.",data\raw\frames\frame_video_UFrLxN50dbQ_unknown_website_004_00.jpg,
Y9Wz426MDn0,https://www.youtube.com/watch?v=Y9Wz426MDn0,I Was Today Years Old When I Learned,7/28/2024,No website,Generate AI art on Fire TV using voice commands,"This tool allows Fire TV or Fire Stick users to create AI-generated artwork directly on their TV by holding down the blue button on the remote and describing the desired image. The system then generates four pictures based on the user's prompt, which can be saved to a collection and set as the TV's background. This feature provides a unique and interactive way to create and display custom art using just the TV remote.",data\raw\frames\frame_video_Y9Wz426MDn0_unknown_website_001_00.jpg,
Nh9tf2glkYc,https://www.youtube.com/watch?v=Nh9tf2glkYc,Cure Your Boredom With This,7/21/2024,secure boredom,Interactive bookmarklet that lets you fly a ship and remove elements on any website for points,"By dragging a button from Secure Boredom to your bookmarks bar, you can activate a tiny ship overlay on any website. Flying the ship and pressing spacebar removes elements on the page, earning points without permanently altering the site. You can switch between community-created ships using a button, and refreshing the page restores the original content.",data\raw\frames\frame_video_Nh9tf2glkYc_secure boredom_001.jpg,
osBSvmM7-bs,https://www.youtube.com/watch?v=osBSvmM7-bs,Do This Before Buying On Amazon,7/16/2024,keepa.com,Check amazon item price history,Unable to extract detailed information from transcript,data\raw\frames\frame_video_osBSvmM7-bs_unknown_website_003_00.jpg,
itit7KQfKxo,https://www.youtube.com/watch?v=itit7KQfKxo,Don't Tell Your Friends About This!,7/14/2024,geekprank.com,Create prank screens and fake app screenshots for fun,"Geekprank.com offers various prank screens that simulate hacking or computer access scenes, allowing users to type randomly on a keyboard to mimic movie-style hacking. It also lets users create fake screenshots for different applications by typing custom messages and choosing whether the message appears as sent or received, making it a fun tool to prank others on their computers.",data\raw\frames\frame_video_itit7KQfKxo_unknown_website_004_00.jpg,
zw7PJ34sSPA,https://www.youtube.com/watch?v=zw7PJ34sSPA,Create a Game or Website In Seconds,7/7/2024,websim.ai,Provides a database of anime character mugshots,"The speaker mentions using this website to access a collection of anime character mugshots, implying it serves as a resource for anime images or references.",data\raw\frames\frame_video_zw7PJ34sSPA_anime mugshots_com_000.jpg,
OrETtcuuMpE,https://www.youtube.com/watch?v=OrETtcuuMpE,We Have Been Lied To,6/30/2024,thetruesize.com,Find the true size of different countries around the world,"The speaker describes a website where you can type in a country name to see its actual size compared to others, demonstrating how common world maps distort country sizes, such as Greenland appearing large but actually being smaller than it looks when compared to Europe or Africa.",data\raw\frames\frame_video_OrETtcuuMpE_not explicitly mentioned_000.jpg,
ZwCBYEtKU3A,https://www.youtube.com/watch?v=ZwCBYEtKU3A,Don't Do This To Your Friends,6/23/2024,nCage+ chrome extension,Pranks your friends by randomly replacing images in browser with Nicholas Cage,Unable to extract detailed information from transcript,data\raw\frames\frame_video_ZwCBYEtKU3A_unknown_website_003_00.jpg,
PrpN7JIpYJI,https://www.youtube.com/watch?v=PrpN7JIpYJI,Should We Be Worried About This?,6/16/2024,lumalabs.ai/dream-machine,Create AI videos from text,Unable to extract detailed information from transcript,data\raw\frames\frame_video_PrpN7JIpYJI_unknown_website_001_02.jpg,
xOc_oX6a36w,https://www.youtube.com/watch?v=xOc_oX6a36w,Free Online Tools You Need To Know,6/9/2024,photopea.com,Free online Photoshop-like image editor,Photopea.com is described as a free online version of Photoshop that allows users to open various image files or regular pictures and use a full set of editing tools available on the side to easily edit images directly in the browser.,data\raw\frames\frame_video_xOc_oX6a36w_unknown_website_005_00.jpg,
ekyCz1Yrf-Y,https://www.youtube.com/watch?v=ekyCz1Yrf-Y,Find The Best Video Game Deals,6/2/2024,gg.deals,Find the best current deals on video games and compare prices,"The website allows you to search for a specific game, like 'minicraft', and shows all the places where you can buy it along with their prices, helping you get the best deal possible.",data\raw\frames\frame_video_ekyCz1Yrf-Y_unknown (not specified in transcript)_000.jpg,
SVFUz6RQclc,https://www.youtube.com/watch?v=SVFUz6RQclc,Turn Your Photos Into 3D Images,5/26/2024,leiapix.com,Create 3D depth maps and animations from images,"LeiaPix.com allows users to upload an image and automatically generates a depth map, giving the image a 3D effect. Users can customize the animation style, such as zooming, and export the result as a video. This makes static images appear dynamic and three-dimensional, enhancing visual presentation.",data\raw\frames\frame_video_SVFUz6RQclc_unknown_website_004_00.jpg,
CxiVL4qqkBw,https://www.youtube.com/watch?v=CxiVL4qqkBw,Don't Tell My Boss 🤫,5/19/2024,whitescreen.online,Create realistic fake update screens for pranks,"Whitescreen.online provides prank screens that simulate computer update processes. Users can select their operating system, such as Windows 10, and customize the update time duration. When put in full screen, it looks like the computer is genuinely running an update, allowing the user to take a break while others believe the update is in progress.",data\raw\frames\frame_video_CxiVL4qqkBw_unknown_website_003_00.jpg,
8D_g_o9byLQ,https://www.youtube.com/watch?v=8D_g_o9byLQ,Find Someone's Location,5/12/2024,geospy.ai,Identify a picture's location by uploading the image,"Geospy.ai allows users to upload a photo and then provides the country, state, city, a description of the photo, and geographic coordinates. It can estimate the location of an image even if the exact spot is not known, offering a close approximation within about 20 miles. The speaker demonstrates using it with personal photos and random screenshots from Google Maps, highlighting its usefulness for location guessing games like Geoguessr.",data\raw\frames\frame_video_8D_g_o9byLQ_unknown_website_008_00.jpg,
lm5fwepJpbY,https://www.youtube.com/watch?v=lm5fwepJpbY,Animate Your Terrible Drawings!,5/5/2024,sketch.metademolab.com,Animate drawings by uploading and adjusting motion points,"The website allows users to upload a picture of a drawing, which it then analyzes to identify key points. Users can adjust these points to correct their positions, enabling the drawing to be animated using preset motions such as running or boxing. This functionality helps bring static drawings to life by applying motion animations interactively.",data\raw\frames\frame_video_lm5fwepJpbY_unknown_website_003_00.jpg,
2qTIoRR854U,https://www.youtube.com/watch?v=2qTIoRR854U,I Guarantee You Didn't Know This!,4/28/2024,google.com/search?q=hugging+face+qr+code+generator,Generate custom QR codes from URLs using AI-generated images,"The website allows users to create visually appealing QR codes by pasting a URL and describing the desired appearance with a text prompt. After entering the URL and a description (e.g., 'a beautiful cityscape with green shrubs and brown roofs'), the site generates a usable QR code that incorporates the AI-generated image based on the prompt. The QR code can be scanned with a phone camera to directly access the entered website, combining functionality with customized aesthetics.",data\raw\frames\frame_video_2qTIoRR854U_unknown_website_004_00.jpg,
yuhUwdzjlNE,https://www.youtube.com/watch?v=yuhUwdzjlNE,Google Secrets I Guarantee You Didn't Know!,4/21/2024,google.com,Combine two emojis into one using Google's emoji mashup tool,"Searching for a particular term on Google lets you access a tool that merges two emojis into a new combined emoji, allowing creative combinations like a cowboy hat with a sunrise or football.",data\raw\frames\frame_video_yuhUwdzjlNE_google_com_002.jpg,
3gLwyqJgbes,https://www.youtube.com/watch?v=3gLwyqJgbes,Play Unblocked Games at School or Work,4/14/2024,artclass.site,Access unblocked games at school or work,"By typing 'homework.artclass.site' in a browser, users can launch an about:blank page that disguises the site, allowing access to various unblocked games like Minecraft, Super Mario 64, and Slope.",data\raw\frames\frame_video_3gLwyqJgbes_artclass_site_002.jpg,
zHrT4X8FNhI,https://www.youtube.com/watch?v=zHrT4X8FNhI,This Cured My Boredom,4/8/2024,google earth,Flight simulator built into Google Earth Pro desktop application,"By launching Google Earth Pro on desktop and pressing control + alt + A, you can access a flight simulator where you choose your airplane and airport to fly from, allowing for an interactive flying experience within the app.",data\raw\frames\frame_video_zHrT4X8FNhI_google earth_002.jpg,
BVTJliBUS-Y,https://www.youtube.com/watch?v=BVTJliBUS-Y,The Most Useful Computer Trick Ever,4/1/2024,ismycomputeron.com,Check if your computer is turned on,"After opening Firefox, go to the URL bar and type ismycomputeron.com to verify if your computer is on.",data\raw\frames\frame_video_BVTJliBUS-Y_ismycomputeron_com_000.jpg,
yEBgiITK28k,https://www.youtube.com/watch?v=yEBgiITK28k,The Most Useful Ai Tools,3/25/2024,huggingface.co,Discover and experiment with various AI tools including image generation and logo integration,"The speaker describes a website with a 'spaces' section offering AI tools like 'instant ID' which creates images by combining an uploaded face, a reference pose, and a text prompt, and 'illusion diffusion' which generates images integrating uploaded logos with user prompts, demonstrating creative AI image generation capabilities.",data\raw\frames\frame_video_yEBgiITK28k_not explicitly mentioned_000.jpg,
IzeiBb_9B9U,https://www.youtube.com/watch?v=IzeiBb_9B9U,Find Celebrities Near You,3/21/2024,tjukanovt.github.io/notable-people,Find notable people from any place in the world on an interactive map,"By searching a specific phrase on Google and clicking the first link, you access a map that shows the most notable person from every location worldwide, allowing you to explore famous individuals by region, such as Taylor Swift in Pennsylvania or Einstein in Germany.",data\raw\frames\frame_video_IzeiBb_9B9U_not explicitly named (implied google search leading to a notable people map)_002.jpg,
u9N5ObU45Bk,https://www.youtube.com/watch?v=u9N5ObU45Bk,This Website Saved Me,3/12/2024,carcarekiosk.com,Provides step-by-step car maintenance videos and parts info,"Carcarekiosk.com allows users to select their car make and model, such as a Toyota Tacoma, and access numerous maintenance guides specific to their vehicle. It offers step-by-step videos for various repairs, like replacing a brake light, along with information on the parts needed, making it a helpful resource for DIY car maintenance.",data\raw\frames\frame_video_u9N5ObU45Bk_unknown_website_004_00.jpg,
pEnJK_UKEcQ,https://www.youtube.com/watch?v=pEnJK_UKEcQ,Create A Game or Website With a Drawing,3/6/2024,sketch2app.io,"Generate apps, games, and websites from hand-drawn sketches","Sketch2app.io allows users to create apps, games, and websites by drawing a sketch and capturing it via webcam. The website then generates the project based on the drawing. Users can test the generated game and if there are issues, such as game logic not working correctly, they can specify fixes at the bottom of the interface and regenerate the project to improve functionality.",data\raw\frames\frame_video_pEnJK_UKEcQ_unknown_website_002_00.jpg,
ySzjCbgbJek,https://www.youtube.com/watch?v=ySzjCbgbJek,Create A Comic Based On Your Life!,2/28/2024,huggingface.co/spaces/jbilcke-hf/ai-comic-factory,Create AI comics,Unable to extract detailed information from transcript,data\raw\frames\frame_video_ySzjCbgbJek_unknown_website_003_02.jpg,
B4pIbpbFJwo,https://www.youtube.com/watch?v=B4pIbpbFJwo,I Was Today Years Old When,2/22/2024,google maps,Report and request blurring of personal or inappropriate images in Street View,"Users can click the three dots in Street View, select 'report a problem,' drag a red box over the area they want removed, specify the issue, and request Google Maps to blur out personal property such as houses, cars, or faces.",data\raw\frames\frame_video_B4pIbpbFJwo_google maps_001.jpg,
Iz-5s36TmJg,https://www.youtube.com/watch?v=Iz-5s36TmJg,How To Create The Best Videos,2/13/2024,eyecannndy.com,Library of categorized video effects with examples and names,"Eyecanndy.com provides a large, searchable library of video techniques, each accompanied by a GIF demonstrating the effect and detailed information including the technique's name. This allows users to identify specific video effects seen in clips and then easily find tutorials on how to recreate them by searching the technique name on YouTube.",data\raw\frames\frame_video_Iz-5s36TmJg_unknown_website_009_00.jpg,
aKYsGuSoSKE,https://www.youtube.com/watch?v=aKYsGuSoSKE,I Hate When Websites Do This!,2/9/2024,cooked.wiki,Provides concise recipes by removing extra website content,"By modifying the URL of a recipe website to include 'cooked wiki/' before the HTTPs, you can strip away unnecessary content and get a clean, straightforward recipe with just the directions.",data\raw\frames\frame_video_aKYsGuSoSKE_cooked_wiki_000.jpg,
xBqPQ9Gn4y8,https://www.youtube.com/watch?v=xBqPQ9Gn4y8,A Powerful Website I Guarantee You Didn't Know,2/5/2024,radio.garden,Listen to radio stations worldwide via an interactive map,"Radio.garden allows users to listen to radio stations from around the world on their computer by scrolling across an interactive globe. Each green dot on the map represents a different radio station, enabling easy exploration and listening to diverse global broadcasts.",data\raw\frames\frame_video_xBqPQ9Gn4y8_unknown_website_004_00.jpg,
jm-d8WMWQvA,https://www.youtube.com/watch?v=jm-d8WMWQvA,Why You Shouldn't Trust Screenshots...,1/28/2024,fakedetail.com,Create fake text messages or social media posts for demonstration,"Allows you to select message types like Facebook chat, customize sender and message content, preview live, and download realistic-looking fake messages that appear authentic on your phone.",data\raw\frames\frame_video_jm-d8WMWQvA_unspecified website for creating fake messages_000.jpg,
